service_id,route_id,trip_id,direction_id,trip_headsign,block_id
SU,BLUE,SU_15292,1,Nagole,SU_31101
SU,BLUE,SU_15293,0,Raidurg,SU_31501
SU,BLUE,SU_15294,1,Nagole,SU_31501
SU,BLUE,SU_15295,0,Raidurg,SU_31201
SU,BLUE,SU_15296,1,Nagole,SU_31201
SU,BLUE,SU_15297,0,Raidurg,SU_30101
SU,BLUE,SU_15298,1,Nagole,SU_30101
SU,BLUE,SU_15299,0,Raidurg,SU_31601
SU,BLUE,SU_15300,1,Nagole,SU_31601
SU,BLUE,SU_15301,0,Raidurg,SU_30201
SU,BLUE,SU_15302,1,Nagole,SU_30201
SU,BLUE,SU_15303,0,Raidurg,SU_30301
SU,BLUE,SU_15304,1,Nagole,SU_30301
SU,BLUE,SU_15305,0,Raidurg,SU_31301
SU,BLUE,SU_15306,1,Nagole,SU_31301
SU,BLUE,SU_15307,0,Raidurg,SU_31701
SU,BLUE,SU_15308,1,Nagole,SU_31701
SU,BLUE,SU_15309,0,Raidurg,SU_30401
SU,BLUE,SU_15310,1,Nagole,SU_30401
SU,BLUE,SU_15311,0,Raidurg,SU_30501
SU,BLUE,SU_15312,1,Nagole,SU_30501
SU,BLUE,SU_15313,0,Raidurg,SU_31801
SU,BLUE,SU_15314,1,Nagole,SU_31801
SU,BLUE,SU_15363,0,Raidurg,SU_31401
SU,BLUE,SU_15364,1,Nagole,SU_31401
SU,BLUE,SU_15365,0,Raidurg,SU_31901
SU,BLUE,SU_15366,1,Nagole,SU_31901
SU,BLUE,SU_15367,0,Raidurg,SU_30701
SU,BLUE,SU_15368,1,Nagole,SU_30701
SU,BLUE,SU_15369,0,Raidurg,SU_30801
SU,BLUE,SU_15370,1,Nagole,SU_30801
SU,BLUE,SU_15371,0,Raidurg,SU_32001
SU,BLUE,SU_15372,1,Nagole,SU_32001
SU,BLUE,SU_15373,0,Raidurg,SU_31001
SU,BLUE,SU_15374,1,Nagole,SU_31001
SU,BLUE,SU_15375,0,Raidurg,SU_31501
SU,BLUE,SU_15376,1,Nagole,SU_31501
SU,BLUE,SU_15377,0,Raidurg,SU_31201
SU,BLUE,SU_15378,1,Nagole,SU_31201
SU,BLUE,SU_15379,0,Raidurg,SU_31601
SU,BLUE,SU_15380,1,Nagole,SU_31601
SU,BLUE,SU_15399,0,Raidurg,SU_30201
SU,BLUE,SU_15400,1,Nagole,SU_30201
SU,BLUE,SU_15401,0,Raidurg,SU_31301
SU,BLUE,SU_15402,1,Nagole,SU_31301
SU,BLUE,SU_15403,0,Raidurg,SU_30401
SU,BLUE,SU_15404,1,Nagole,SU_30401
SU,BLUE,SU_15405,0,Raidurg,SU_31801
SU,BLUE,SU_15407,0,Raidurg,SU_31401
SU,BLUE,SU_15408,1,Nagole,SU_31401
SU,BLUE,SU_15409,0,Raidurg,SU_31901
SU,BLUE,SU_15410,1,Nagole,SU_31901
SU,BLUE,SU_15411,0,Raidurg,SU_30801
SU,BLUE,SU_15412,1,Nagole,SU_30801
SU,BLUE,SU_15413,0,Raidurg,SU_32001
SU,BLUE,SU_15414,1,Nagole,SU_32001
SU,BLUE,SU_15419,0,Raidurg,SU_31501
SU,BLUE,SU_15420,1,Nagole,SU_31501
SU,BLUE,SU_15422,1,Nagole,SU_31801
SU,BLUE,SU_17675,0,Raidurg,SU_30901
SU,BLUE,SU_17678,0,Raidurg,SU_31001
SU,BLUE,SU_17679,1,Nagole,SU_31001
SU,BLUE,SU_17680,0,Raidurg,SU_31101
SU,BLUE,SU_17681,1,Nagole,SU_31101
